Year,Grand Prix,Track Length (m),Max Speed (km/h),Full Throttle (%),Number of Corners,Number of Straights,
2020,Pre-Season Test 1,-1.000606544,-0.115669642,1.059667324460851,-0.789651318,-0.938393697,
2020,Pre-Season Test 2,-1.000606544,-0.115669642,1.059667324460851,-0.789651318,-0.938393697,
2020,Austrian Grand Prix,-1.000606544,-0.115669642,1.059667324460851,-0.789651318,-0.938393697,
2020,Styrian Grand Prix,-1.024864903,-1.8409797,-1.75747858,-0.275002946,-0.037810735,
2020,Hungarian Grand Prix,-0.957038816,-0.490737046,-0.407433393,-1.304299689,-0.037810735,
2020,British Grand Prix,0.867911885,-0.415723565,0.7504979764253715,-0.789651318,-0.488102216,
2020,70th Anniversary Grand Prix,0.8761766010155401,0.5594516848765843,1.0822418128596458,-0.789651318,-0.488102216,
2020,Spanish Grand Prix,-0.614057528,-0.340710084,0.19570066869200747,-0.275002946,-0.488102216,
2020,Belgian Grand Prix,2.265340186573633,0.259397762,1.1838038900496133,-0.275002946,-0.938393697,
2020,Italian Grand Prix,0.8004816257714337,1.1595595310901547,1.7817880770837313,-0.789651318,-1.388685178,
2020,Tuscan Grand Prix,0.13262815885100482,-0.790790969,1.3643684477304903,-1.304299689,-1.838976659,
2020,Russian Grand Prix,0.851112736,0.6344651656532806,0.5278201163399959,-1.304299689,0.8627722270020034,
2020,Eifel Grand Prix,-0.020138687,-0.265696604,-0.372685553,0.23964542478616382,0.41248074597705336,
2020,Portuguese Grand Prix,-0.619872898,0.33441124254649535,0.3614881710230855,0.23964542478616382,0.41248074597705336,
2020,Emilia Romagna Grand Prix,-0.285114133,0.259397762,1.226282389702647,-1.304299689,-0.488102216,
2020,Turkish Grand Prix,0.14440208488504316,-1.991006662,-3.297974601,1.2689421673103425,-0.037810735,
2020,Bahrain Grand Prix,0.3028413255189256,-0.340710084,0.612064247,0.23964542478616382,-0.037810735,
2020,Sakhir Grand Prix,-1.981128893,0.259397762,0.8083514664127623,-0.789651318,-0.488102216,
2020,Abu Dhabi Grand Prix,0.45604825310220787,-0.265696604,-0.268995312,0.23964542478616382,1.7633551890519035,
2021,Pre-Season Test,0.380999544,-0.415723565,-0.255715499,0.7542937960482531,0.8627722270020034,
2021,Bahrain Grand Prix,0.3298133277925327,-0.715777488,0.18170682260242618,0.23964542478616382,0.41248074597705336,
2021,Emilia Romagna Grand Prix,-0.262592194,-0.190683123,1.2275236765737405,-1.304299689,-0.488102216,
2021,Portuguese Grand Prix,-0.601370689,-0.415723565,-0.18717097,0.23964542478616382,0.41248074597705336,
2021,Spanish Grand Prix,-0.563114233,-0.640764008,0.18537177794785467,-0.789651318,-0.037810735,
2021,Monaco Grand Prix,-2.260771122,-2.81615495,-2.000021681,2.298238909834521,0.8627722270020034,
2021,Azerbaijan Grand Prix,1.0154495622667767,0.6344651656532806,0.032180567673455604,1.7835905385724318,1.7633551890519035,
2021,French Grand Prix,0.7861495716540482,0.33441124254649535,-0.166364886,-0.275002946,-0.037810735,
2021,Styrian Grand Prix,-1.016573662,-0.265696604,1.0582590005552506,-0.789651318,-1.388685178,
2021,Austrian Grand Prix,-1.011581907,-0.340710084,1.1781008598378355,-0.789651318,-1.388685178,
2021,British Grand Prix,0.86217292,0.034357319,0.8300672567094325,-0.789651318,-0.488102216,
2021,Hungarian Grand Prix,-0.968353603,-0.940817931,-0.753528793,-0.789651318,0.41248074597705336,
2021,Belgian Grand Prix,2.2236296895809926,-0.790790969,-0.865206953,0.23964542478616382,0.41248074597705336,
2021,Dutch Grand Prix,-1.088488603,-1.165858373,0.10000631444949608,-1.304299689,-0.037810735,
2021,Italian Grand Prix,0.7720135078809869,1.009532569536762,1.7624852765659227,-0.789651318,-1.388685178,
2021,Russian Grand Prix,0.8172680433573927,-2.141033623,-0.515292602,0.23964542478616382,1.3130637080269534,
2021,Turkish Grand Prix,0.15876565383811708,-0.265696604,0.6184242089281942,0.23964542478616382,-0.037810735,
2021,United States Grand Prix,0.380999544,-0.415723565,-0.255715499,0.7542937960482531,0.8627722270020034,
2021,Mexico City Grand Prix,-1.080094679,1.6096404157503328,-1.35528398,0.7542937960482531,0.41248074597705336,
2021,São Paulo Grand Prix,-1.085765237,0.034357319,0.062133699,-0.275002946,-0.488102216,
2021,Qatar Grand Prix,0.32234058222357664,-0.415723565,1.0156384656718953,-1.304299689,-1.388685178,
2021,Saudi Arabian Grand Prix,1.2016786148789853,0.034357319,0.7852372421370035,-0.789651318,-1.388685178,
2021,Abu Dhabi Grand Prix,0.10447176732832013,0.034357319,0.5211701594613215,-0.789651318,-0.488102216,
2023,Pre-Season Testing,0.8451918879619578,0.259397762,0.7182894101540248,-0.275002946,-0.488102216,
2023,Bahrain Grand Prix,0.2889956504996921,-0.115669642,0.14504465629788402,0.23964542478616382,0.41248074597705336,
2023,Saudi Arabian Grand Prix,1.2079693137101977,1.009532569536762,1.600182671460777,-0.789651318,-1.388685178,
2023,Australian Grand Prix,0.12993639305081237,0.10937080021640638,0.9848099635053431,-0.789651318,-0.938393697,
