Year,Grand Prix,Track Length (m),Max Speed (km/h),Full Throttle (%),Number of Corners,Number of Straights
2020,Pre-Season Test 1,4312.438436642074,323,70.67395264116576,1,4
2020,Pre-Season Test 2,4312.438436642074,323,70.67395264116576,1,4
2020,Austrian Grand Prix,4312.438436642074,323,70.67395264116576,1,4
2020,Styrian Grand Prix,4292.610383989061,300,46.55688622754491,2,6
2020,Hungarian Grand Prix,4348.049386050219,318,58.11437403400309,0,6
2020,British Grand Prix,5839.709146825354,319,68.02721088435374,1,5
2020,70th Anniversary Grand Prix,5846.464476621695,332,70.86720867208672,1,5
2020,Spanish Grand Prix,4628.391965,320,63.277693474962064,2,5
2020,Belgian Grand Prix,6981.924969184472,328,71.73666288,2,4
2020,Italian Grand Prix,5784.593682736272,340,76.85589519650655,1,3
2020,Tuscan Grand Prix,5238.710365326556,314,73.28244275,0,2
2020,Russian Grand Prix,5825.978027593089,333,66.12090680100756,0,8
2020,Eifel Grand Prix,5113.843344688737,321,58.41184387617766,3,7
2020,Portuguese Grand Prix,4623.638656218628,329,64.6969697,3,7
2020,Emilia Romagna Grand Prix,4897.260392475409,328,72.10031347962382,0,5
2020,Turkish Grand Prix,5248.334018,298,33.36898395721925,5,6
2020,Bahrain Grand Prix,5377.837483309411,320,66.84210526315789,3,6
2020,Sakhir Grand Prix,3510.9889879236575,328,68.52248394004282,1,5
2020,Abu Dhabi Grand Prix,5503.0642134557065,321,59.29951690821256,3,10
2021,Pre-Season Test,5441.721658333483,319,59.41320293398533,4,8
2021,Bahrain Grand Prix,5399.8835859465535,315,63.15789474,3,7
2021,Emilia Romagna Grand Prix,4915.669147353084,322,72.11093990755008,0,5
2021,Portuguese Grand Prix,4638.761804537108,319,60,3,7
2021,Spanish Grand Prix,4670.0314802350595,316,63.189269746646794,1,6
2021,Monaco Grand Prix,3282.4178487679205,287,44.48051948051948,7,8
2021,Azerbaijan Grand Prix,5960.302002185305,333,61.87782805429865,6,10
2021,French Grand Prix,5772.879093182713,329,60.17811704834606,2,6
2021,Styrian Grand Prix,4299.387395060386,321,70.66189624,1,3
2021,Austrian Grand Prix,4303.467505,320,71.68784029038112,1,3
2021,British Grand Prix,5835.018289474406,325,68.70838881491345,1,5
2021,Hungarian Grand Prix,4338.801019239298,312,55.15151515151515,1,7
2021,Belgian Grand Prix,6947.832064682318,314,54.19545903257651,3,7
2021,Dutch Grand Prix,4240.606287600921,309,62.45847176079734,0,6
2021,Italian Grand Prix,5761.324700236104,338,76.69064748201438,1,3
2021,Russian Grand Prix,5798.314395097776,296,57.19101123595506,3,9
2021,Turkish Grand Prix,5260.074366831462,321,66.89655172413794,3,6
2021,United States Grand Prix,5441.721658333483,319,59.41320293398533,4,8
2021,Mexico City Grand Prix,4247.467227831728,346,50,4,7
2021,São Paulo Grand Prix,4242.8322844857485,325,62.13425129,2,5
2021,Qatar Grand Prix,5393.775588693577,319,70.29702970297029,0,3
2021,Saudi Arabian Grand Prix,6112.520023163451,325,68.32460732984293,1,3
2021,Abu Dhabi Grand Prix,5215.696178574537,325,66.06397774687065,1,5
2023,Pre-Season Testing,5821.138505,328,67.75147928994083,2,5
2023,Bahrain Grand Prix,5366.520445387713,323,62.84403669724771,3,7
2023,Saudi Arabian Grand Prix,6117.661850999791,338,75.30120481927712,1,3
2023,Australian Grand Prix,5236.510197,326,70.03311258278146,1,4
2023,Azerbaijan Grand Prix,5952.973418355953,334,63.081009296148736,5,10
2023,Miami Grand Prix,5333.429904701629,342,57.96661608497724,6,6
2023,Monaco Grand Prix,3275.441954045132,290,43.977055449330784,7,8
2023,Spanish Grand Prix,4638.266736079147,330,68.27956989247312,0,4
2023,Canadian Grand Prix,4336.319492947461,343,48.59967051070841,3,7
2023,Austrian Grand Prix,4298.708153322005,325,67.15481171548117,1,4
2023,British Grand Prix,5821.138505,328,67.75147928994083,2,5
2023,Hungarian Grand Prix,4346.429666,311,56.91489361702128,1,7
2023,Belgian Grand Prix,6949.525511209819,339,65.00622665006227,2,6
2023,Dutch Grand Prix,4236.317337564439,326,57.41811175337187,1,6
2023,Italian Grand Prix,5768.347128286132,350,73.42192691,1,3
2023,Singapore Grand Prix,4887.409469921033,315,51.38282387190685,4,11
2023,Japanese Grand Prix,5779.833412807866,335,65.44655929721816,3,4
2023,Qatar Grand Prix,5378.425094807916,322,61.23417721518988,1,4
2023,United States Grand Prix,5440.668709682047,327,55.57122708039493,5,8
2023,Mexico City Grand Prix,4254.247549334324,351,48.99328859060403,4,7
2023,São Paulo Grand Prix,4248.054834069164,329,56.75182481751825,1,5
2023,Las Vegas Grand Prix,6145.480276,346,67.5177305,5,6
2023,Abu Dhabi Grand Prix,5231.843037071458,329,65.65977742448331,1,6
2022,Pre-Season Track Session,5819.991092298377,298,50.795755968169765,4,5
2022,Pre-Season Test,5453.301404511588,321,56.07344632768362,4,8
2022,Bahrain Grand Prix,5361.865421089748,318,63.127690100430414,3,7
2022,Saudi Arabian Grand Prix,6094.398954821692,335,72.07207207207207,1,3
2022,Australian Grand Prix,5231.921772771186,314,70.54794520547945,1,4
2022,Emilia Romagna Grand Prix,4878.852892678211,305,65.39735099337747,2,6
2022,Miami Grand Prix,5344.115585794462,336,54.285714285714285,5,6
2022,Spanish Grand Prix,4636.771676129172,318,57.23684210526315,1,7
2022,Monaco Grand Prix,3267.717037472408,286,43.925233644859816,7,8
2022,Azerbaijan Grand Prix,5955.1214848711925,334,63.354838709677416,7,10
2022,Canadian Grand Prix,4305.706021489084,306,51.27388535031847,3,7
2022,British Grand Prix,5819.991092298377,298,50.795755968169765,4,5
2022,Austrian Grand Prix,4289.902683651484,322,66.93548387096774,1,4
2022,French Grand Prix,5775.447297554065,331,61.05417276720352,2,6
2022,Hungarian Grand Prix,4330.288587,312,54.59272097053726,1,7
2022,Belgian Grand Prix,6933.922871,340,66.49746192893402,2,4
2022,Dutch Grand Prix,4211.868257856459,327,59.53307392996109,1,6
2022,Italian Grand Prix,5763.227121366836,343,73.67576243980739,1,3
2022,Singapore Grand Prix,5010.438808947152,293,34.91686460807601,9,14
2022,Japanese Grand Prix,5783.003512697036,331,63.58118361153262,3,4
2022,United States Grand Prix,5453.301404511588,321,56.07344632768362,4,8
2022,Mexico City Grand Prix,4236.651772065588,349,46.47651007,5,7
2022,São Paulo Grand Prix,4233.170778730611,330,56.82242990654206,2,5
2022,Abu Dhabi Grand Prix,5213.573141362866,327,63.24921135646687,1,6
2019,Australian Grand Prix,5283.977483860729,320,70.37037037037037,1,4
2019,Bahrain Grand Prix,5385.659254369695,328,64.19939577039275,3,7
2019,Chinese Grand Prix,5436.984950307859,320,58.978102189781026,5,6
2019,Azerbaijan Grand Prix,5959.966152903406,331,63.35978835978836,5,10
2019,Spanish Grand Prix,4618.776118190911,320,64.74694589877836,2,6
2019,Monaco Grand Prix,3292.8173394707896,291,44.21252371916509,7,8
2019,Canadian Grand Prix,4334.555028278376,334,61.93181818181818,2,7
2019,French Grand Prix,5773.170122195985,340,62.14177978883861,2,6
2019,Austrian Grand Prix,4322.613091,330,71.06918239,1,4
2019,British Grand Prix,5847.371756727822,328,71.04851330203444,1,5
2019,German Grand Prix,4582.988824522679,325,66.02687140115164,1,5
2019,Hungarian Grand Prix,4367.531984443574,312,59.64285714285714,1,7
2019,Belgian Grand Prix,6967.273442916214,345,64.08268733850129,2,4
2019,Italian Grand Prix,5782.394082934222,354,72,1,3
2019,Singapore Grand Prix,5029.983880773249,322,46.02272727272727,4,13
2019,Russian Grand Prix,5829.4377940665545,330,65.50218340611353,0,7
2019,Japanese Grand Prix,5808.560360995212,333,66.76783004552352,3,3
2019,Mexican Grand Prix,4258.666870655132,350,50.44722719141323,5,7
2019,United States Grand Prix,5466.983778850914,325,60.31518624641834,5,7
2019,Brazilian Grand Prix,4259.036734834503,333,61.417322834645674,1,5
2019,Abu Dhabi Grand Prix,5506.346101080651,323,58.309859154929576,3,10
2018,Australian Grand Prix,5277.175184554597,320,66.77471636952998,2,5
2018,Bahrain Grand Prix,5388.604607432531,325,63.26836581709146,3,7
2018,Chinese Grand Prix,5438.120386455528,330,59.221902017291065,5,6
2018,Azerbaijan Grand Prix,5971.811509510453,330,60.91030789825971,8,10
2018,Spanish Grand Prix,4615.508804157954,323,59.29824561403508,2,6
2018,Monaco Grand Prix,3303.9863561731863,291,42.29323308270676,7,8
2018,Canadian Grand Prix,4345.921756712373,326,63.53383458646616,2,7
2018,French Grand Prix,5791.569314,331,58.93648449039882,2,6
2018,Austrian Grand Prix,4314.856573028133,328,68.60706860706861,1,4
2018,British Grand Prix,5849.746137,322,67.3374613,1,5
2018,German Grand Prix,4578.303680591662,327,65.08538899430741,1,5
2018,Hungarian Grand Prix,4351.087830495202,327,50.26642984014209,1,8
2018,Belgian Grand Prix,6984.376682580708,335,68.99224806,2,4
2018,Italian Grand Prix,5790.966947469924,347,75.79831933,1,3
2018,Singapore Grand Prix,5026.5011855528055,322,44.26002766251729,4,14
2018,Russian Grand Prix,5820.619920385116,326,65.27377521613833,1,6
