season,raceName,url,weather
2010,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix,Sunny
2010,Australian Grand Prix,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix,Overcast with light rain at start
2010,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2010_Malaysian_Grand_Prix,"Mainly cloudy, dry"
2010,Chinese Grand Prix,http://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix,"Cloudy, rain"
2010,Spanish Grand Prix,http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix,"Mainly cloudy, dry"
2006,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix,"Fine, Dry and HotAir Temp 23 °C (73 °F)[1]Track Temp 40 °C (104 °F)[1] dropping to 34 °C (93 °F)"
2006,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix,"Fine, Air Temp: 33°C, Wind Speed: 1.5 m/s, Humidity: 61%"
2006,Australian Grand Prix,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix,Cloudy with sunny breaks. Air temperature 20°C
2006,San Marino Grand Prix,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix,Sunny
2006,European Grand Prix,http://en.wikipedia.org/wiki/2006_European_Grand_Prix,Not Available
2007,Australian Grand Prix,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix,Clear with temperatures reaching up to 21 °C (70 °F)[1]
2007,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix,Sunny[1]
2007,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix,"Sunny, dry, windy"
2007,Spanish Grand Prix,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix,Sunny and warm
2007,Monaco Grand Prix,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)"
2011,Australian Grand Prix,http://en.wikipedia.org/wiki/2011_Australian_Grand_Prix,"Sunny, 18°C"
2011,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2011_Malaysian_Grand_Prix,"Cloudy, dry"
2011,Chinese Grand Prix,http://en.wikipedia.org/wiki/2011_Chinese_Grand_Prix,"Fine and Dry[1]
Air Temp 22 °C (72 °F)[1]

Track Temp 32 °C (90 °F) dropping to 26 °C (79 °F)[1]"
2011,Turkish Grand Prix,http://en.wikipedia.org/wiki/2011_Turkish_Grand_Prix,"Sunny, Fine and Dry[2]
Air Temp 17 °C (63 °F)[2]

Track Temp 35 °C (95 °F) dropping to 30 °C (86 °F)[2]"
2011,Spanish Grand Prix,http://en.wikipedia.org/wiki/2011_Spanish_Grand_Prix,"Mainly sunny, Fine and Dry[3][4]
Air Temp 27 °C (81 °F)[4]

Track Temp 33 °C (91 °F) to 44 °C (111 °F)[4]"
2016,Australian Grand Prix,http://en.wikipedia.org/wiki/2016_Australian_Grand_Prix,Partly cloudy22–23 °C (72–73 °F) air temperature26–36 °C (79–97 °F) track temperature4 m/s (8.9 mph; 14 km/h) wind from the south[4]
2016,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix,Dry21–22 °C (70–72 °F) air temperature26–29 °C (79–84 °F) track temperature2 m/s (6.6 ft/s) wind from the southwest[4]
2016,Chinese Grand Prix,http://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix,Sunny21 °C (70 °F) air temperature37 °C (99 °F) track temperature4.8 m/s (16 ft/s) wind from the northeast[4]
2016,Russian Grand Prix,http://en.wikipedia.org/wiki/2016_Russian_Grand_Prix,Partly cloudy16 °C (61 °F) air temperature37–41 °C (99–106 °F) track temperature2.5 m/s (8.2 ft/s) wind from the southwest[4]
2016,Spanish Grand Prix,http://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix,Partly cloudy20–22 °C (68–72 °F) air temperature39–41 °C (102–106 °F) track temperature2 m/s (6.6 ft/s) wind from the north[4]
2000,Australian Grand Prix,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix,"Sunny,[3] Air Temp: 20 °C"
2000,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix,"Sunny with some clouds, Air: 22 °C (72 °F), Track: 35 °C (95 °F)"
2000,San Marino Grand Prix,http://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix,"Overcast, mild, dry; 16 °C (61 °F)"
2000,British Grand Prix,http://en.wikipedia.org/wiki/2000_British_Grand_Prix,"Sunny, mild, dry, Air Temp: 10 °C (50 °F)"
2000,Spanish Grand Prix,http://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix,"Sunny, Mild, Dry"
2020,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,Sunny
2020,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,Sunny
2020,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,"Wet at start, partly cloudy"
2020,British Grand Prix,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,Partly cloudy
2020,70th Anniversary Grand Prix,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,Sunny
